,SCQALCOHOL,BEHALC.DRINKSPERDAY,BEHALC.DRINKSPERWEEK,count,current_drink
1,yes,0,0,29,TRUE
2,yes,0,NA,3,TRUE
3,yes,0.5,0,1,TRUE
4,yes,0.5,0.059999999,3,TRUE
5,yes,0.5,0.75,3,TRUE
6,yes,0.5,1.75,1,TRUE
7,yes,0.699999988,0.083999999,1,TRUE
8,yes,1,0,23,TRUE
9,yes,1,0.119999997,181,TRUE
10,yes,1,0.349999994,152,TRUE
11,yes,1,1.5,150,TRUE
12,yes,1,3.5,47,TRUE
13,yes,1,5.5,28,TRUE
14,yes,1,6.5,45,TRUE
15,yes,1,NA,5,TRUE
16,yes,1.5,0,1,TRUE
17,yes,1.5,0.179999992,19,TRUE
18,yes,1.5,0.524999976,24,TRUE
19,yes,1.5,2.25,53,TRUE
20,yes,1.5,5.25,23,TRUE
21,yes,1.5,8.25,6,TRUE
22,yes,1.5,9.75,12,TRUE
23,yes,1.5,NA,1,TRUE
24,yes,2,0,20,TRUE
25,yes,2,0.239999995,170,TRUE
26,yes,2,0.699999988,223,TRUE
27,yes,2,3,445,TRUE
28,yes,2,7,186,TRUE
29,yes,2,11,52,TRUE
30,yes,2,13,94,TRUE
31,yes,2,NA,21,TRUE
32,yes,2.5,0,2,TRUE
33,yes,2.5,0.299999982,11,TRUE
34,yes,2.5,0.875,26,TRUE
35,yes,2.5,3.75,77,TRUE
36,yes,2.5,8.75,38,TRUE
37,yes,2.5,13.75,23,TRUE
38,yes,2.5,16.25,22,TRUE
39,yes,3,0,8,TRUE
40,yes,3,0.359999985,76,TRUE
41,yes,3,1.049999952,118,TRUE
42,yes,3,4.5,321,TRUE
43,yes,3,10.5,152,TRUE
44,yes,3,16.5,55,TRUE
45,yes,3,19.5,82,TRUE
46,yes,3,NA,11,TRUE
47,yes,3.5,0.419999987,6,TRUE
48,yes,3.5,1.225000024,12,TRUE
49,yes,3.5,5.25,77,TRUE
50,yes,3.5,12.25,33,TRUE
51,yes,3.5,19.25,10,TRUE
52,yes,3.5,22.75,13,TRUE
53,yes,3.5,NA,1,TRUE
54,yes,4,0,4,TRUE
55,yes,4,0.479999989,59,TRUE
56,yes,4,1.399999976,101,TRUE
57,yes,4,6,317,TRUE
58,yes,4,14,138,TRUE
59,yes,4,22,39,TRUE
60,yes,4,26,68,TRUE
61,yes,4,NA,5,TRUE
62,yes,4.5,0,1,TRUE
63,yes,4.5,0.539999962,1,TRUE
64,yes,4.5,1.574999928,13,TRUE
65,yes,4.5,6.75,31,TRUE
66,yes,4.5,15.75,15,TRUE
67,yes,4.5,24.75,1,TRUE
68,yes,4.5,29.25,6,TRUE
69,yes,4.5,NA,1,TRUE
70,yes,5,0.599999964,10,TRUE
71,yes,5,1.75,30,TRUE
72,yes,5,7.5,141,TRUE
73,yes,5,17.5,54,TRUE
74,yes,5,27.5,15,TRUE
75,yes,5,32.5,20,TRUE
76,yes,5,NA,4,TRUE
77,yes,5.5,0.659999967,3,TRUE
78,yes,5.5,1.924999952,5,TRUE
79,yes,5.5,8.25,17,TRUE
80,yes,5.5,19.25,1,TRUE
81,yes,5.5,30.25,3,TRUE
82,yes,5.5,35.75,3,TRUE
83,yes,5.5,NA,1,TRUE
84,yes,6,0.719999969,13,TRUE
85,yes,6,2.099999905,46,TRUE
86,yes,6,9,132,TRUE
87,yes,6,21,64,TRUE
88,yes,6,33,20,TRUE
89,yes,6,39,29,TRUE
90,yes,6,NA,6,TRUE
91,yes,6.5,0.779999971,1,TRUE
92,yes,6.5,2.274999857,3,TRUE
93,yes,6.5,9.75,8,TRUE
94,yes,6.5,35.75,1,TRUE
95,yes,6.5,42.25,2,TRUE
96,yes,7,0.839999974,2,TRUE
97,yes,7,2.450000048,5,TRUE
98,yes,7,10.5,30,TRUE
99,yes,7,24.5,4,TRUE
100,yes,7,45.5,2,TRUE
101,yes,7,NA,2,TRUE
102,yes,7.5,0.899999976,1,TRUE
103,yes,7.5,2.625,1,TRUE
104,yes,7.5,11.25,1,TRUE
105,yes,7.5,26.25,2,TRUE
106,yes,8,0.959999979,5,TRUE
107,yes,8,2.799999952,17,TRUE
108,yes,8,12,57,TRUE
109,yes,8,28,20,TRUE
110,yes,8,44,5,TRUE
111,yes,8,52,15,TRUE
112,yes,9,3.149999857,2,TRUE
113,yes,9,13.5,5,TRUE
114,yes,9,31.5,2,TRUE
115,yes,9,58.5,1,TRUE
116,yes,10,1.199999928,6,TRUE
117,yes,10,3.5,9,TRUE
118,yes,10,15,35,TRUE
119,yes,10,35,9,TRUE
120,yes,10,65,7,TRUE
121,yes,10,NA,1,TRUE
122,yes,11,16.5,2,TRUE
123,yes,11,71.5,1,TRUE
124,yes,12,1.439999938,5,TRUE
125,yes,12,4.199999809,5,TRUE
126,yes,12,18,10,TRUE
127,yes,12,42,4,TRUE
128,yes,12,NA,4,TRUE
129,yes,13,NA,1,TRUE
130,yes,14,1.679999948,3,TRUE
131,yes,14,21,2,TRUE
132,yes,15,5.25,1,TRUE
133,yes,15,22.5,1,TRUE
134,yes,15,52.5,2,TRUE
135,yes,15,82.5,1,TRUE
136,yes,15,97.5,1,TRUE
137,yes,16,24,3,TRUE
138,yes,16,56,2,TRUE
139,yes,16,88,1,TRUE
140,yes,16,NA,2,TRUE
141,yes,18,27,2,TRUE
142,yes,20,0,1,TRUE
