"","GALCOHOL","GEVRALK","GBEERX","GLIQX","GVINX","count"
"1","No","Yes","1 glass or less","4 cl (approx. a small shot or equivalent)","10 cl (1 wine glass)",3
"2","No","Yes","1 glass or less",NA,"20 cl",1
"3","No","Yes","1 glass or less",NA,NA,3
"4","No","Yes","1 bottle (33 cl)","4 cl (approx. a small shot or equivalent)","10 cl (1 wine glass)",1
"5","No","Yes",NA,"4 cl (approx. a small shot or equivalent)","10 cl (1 wine glass)",5
"6","No","Yes",NA,"4 cl (approx. a small shot or equivalent)","20 cl",1
"7","No","Yes",NA,"4 cl (approx. a small shot or equivalent)",NA,3
"8","No","Yes",NA,NA,"10 cl (1 wine glass)",5
"9","No","Yes",NA,NA,"20 cl",1
"10","No","Yes",NA,NA,NA,45
"11","No","No, I have never drunk alcoholic drinks","1 glass or less",NA,"10 cl (1 wine glass)",5
"12","No","No, I have never drunk alcoholic drinks","1 glass or less",NA,NA,8
"13","No","No, I have never drunk alcoholic drinks","1 bottle (33 cl)","4 cl (approx. a small shot or equivalent)","10 cl (1 wine glass)",1
"14","No","No, I have never drunk alcoholic drinks","1 bottle (33 cl)",NA,NA,2
"15","No","No, I have never drunk alcoholic drinks",NA,"4 cl (approx. a small shot or equivalent)","10 cl (1 wine glass)",2
"16","No","No, I have never drunk alcoholic drinks",NA,"4 cl (approx. a small shot or equivalent)",NA,3
"17","No","No, I have never drunk alcoholic drinks",NA,NA,"10 cl (1 wine glass)",8
"18","No","No, I have never drunk alcoholic drinks",NA,NA,NA,324
"19","No","No, I quit.","1 glass or less","4 cl (approx. a small shot or equivalent)","10 cl (1 wine glass)",1
"20","No","No, I quit.","1 glass or less",NA,NA,1
"21","No","No, I quit.","1 bottle (33 cl)","4 cl (approx. a small shot or equivalent)",NA,1
"22","No","No, I quit.","1 bottle (33 cl)",NA,NA,1
"23","No","No, I quit.",NA,"8 cl",NA,1
"24","No","No, I quit.",NA,NA,"10 cl (1 wine glass)",1
"25","No","No, I quit.",NA,NA,"20 cl",1
"26","No","No, I quit.",NA,NA,NA,66
"27","No",NA,"1 glass or less","4 cl (approx. a small shot or equivalent)","10 cl (1 wine glass)",1
"28","No",NA,"1 glass or less","4 cl (approx. a small shot or equivalent)",NA,1
"29","No",NA,"1 glass or less",NA,NA,1
"30","No",NA,NA,"4 cl (approx. a small shot or equivalent)","10 cl (1 wine glass)",1
"31","No",NA,NA,"4 cl (approx. a small shot or equivalent)",NA,1
