"","BR0160","BR0150","count"
"1","more than once a week","more than once a week",968
"2","more than once a week","once a week",165
"3","more than once a week","one to three times a month",59
"4","more than once a week","hardly ever, or never",329
"5","more than once a week","don't know",3
"6","once a week","more than once a week",46
"7","once a week","once a week",109
"8","once a week","one to three times a month",28
"9","once a week","hardly ever, or never",111
"10","one to three times a month","more than once a week",17
"11","one to three times a month","once a week",17
"12","one to three times a month","one to three times a month",29
"13","one to three times a month","hardly ever, or never",53
"14","hardly ever, or never","more than once a week",58
"15","hardly ever, or never","once a week",31
"16","hardly ever, or never","one to three times a month",15
"17","hardly ever, or never","hardly ever, or never",553
"18","don't know","more than once a week",3
"19",NA,NA,4
