"","name","label"
"1","ID","Anonymised ID"
"2","AGE","Age at interview assuming DOB is 1st of specified month"
"3","CM003","FIRST INTERVIEW - Age group of first person interviewed in the househ..."
"4","SEX","Gender"
"5","GD002","gd002 - Is this respondent male or female?"
"6","SOCMARRIED","SOCmarried  Currently married"
"7","CS006","cs006  Are you...?"
"8","MAR4","mar4  Marital Status"
"9","DM001","dm001  What is the highest level of education you have completed"
"10","WE001","we001  Which one of these would you say best describes your current situation?"
"11","WE003","we003  Did you, nevertheless, do any paid work during the last week, either as an em?"
"12","WE106","we106  Could you please tell me, is this?"
"13","WE601","we601  In what year did you retire?"
"14","WE610","we610  When did you stop working at your last job? YEAR"
"15","EMP3","emp3  Current employment status in three groups - 'other' response not yet coded"
"16","BH001","bh001  Have you ever smoked cigarettes, cigars, cigarillos or a pipe daily for a per?"
"17","BH002","bh002  Do you smoke at the present time?"
"18","BH003","bh003  How old were you when you stopped smoking?"
"19","BEHSMOKER","BEHsmoker  Smoker"
"20","SCQALCOHOL","SCQalcohol  drink alcohol"
"21","SCQALCOFREQ","SCQalcofreq  frequency of drinking alcohol"
"22","SCQALCONO1","SCQalcono1  more than two drinks in a single day"
"23","SCQALCONO2","SCQalcono2  How many drinks consumed on days drink taken"
"24","BEHALC.FREQ.WEEK","BEHalc_freq_week  Average times drinking per week"
"25","BEHALC.DRINKSPERDAY","BEHalc_drinksperday  Standard drinks per day"
"26","BEHALC.DRINKSPERWEEK","BEHalc_drinksperweek  Standard drinks a week"
"27","BH101","bh101  During the last 7 days, on how many days did you do vigorous physical activit?"
"28","BH102","bh102  How much time did you usually spend doing vigorous physical activities on one?"
"29","BH102A","bh102a  How much time did you usually spend doing vigorous physical activities on one?"
"30","BH103","bh103  During the last 7 days, on how many days did you do moderate physical activit?"
"31","BH104","bh104  How much time did you usually spend doing moderate physical activities on one?"
"32","BH104A","bh104a  How much time did you usually spend doing moderate physical activities on one?"
"33","BH105","bh105  During the last 7 days, on how many days did you walk for at least 10 minutes?"
"34","BH106","bh106  How much time did you usually spend walking on one of those days? HOURS"
"35","BH106A","bh106a  How much time did you usually spend walking on one of those days? MINS"
"36","BH107","bh107  During the last 7 days, how much time did you spend sitting on a week day? HO?"
"37","BH107A","bh107a  During the last 7 days, how much time did you spend sitting on a week day? MINS"
"38","IPAQMETMINUTES","IPAQmetminutes  Phsyical activity met-minutes"
"39","IPAQEXERCISE3","IPAQmetminutes  Phsyical activity met-minutes"
"40","SR.HEIGHT.CENTIMETRES","SR_Height_Centimetres"
"41","HEIGHT","Respondent height"
"42","PH008","ph008  In the past year have you lost 10 pounds (4.5 kg) or more in weight when you ?"
"43","SR.WEIGHT.KILOGRAMMES","SR_Weight_Kilogrammes"
"44","WEIGHT","Respondent weight"
"45","FRBMI","FRbmi"
"46","FRWAIST","FRwaist  Waist circumference (cm)"
"47","FRHIP","FRhip  Hip circumference (cm)"
"48","FRWHR","FRwhr  Waist/hip ratio"
"49","PH001","ph001  Now I would like to ask you some questions about your health.  Would you say ?"
"50","PH009","ph009  In general, compared to other people your age, would you say your health is"
